This is potfit-git compiled on Nov 22 2016, 17:49:28.

Reading parameter file >> input_test.tmp << ... 
Reading parameter file >> input_test.tmp << ... done
Starting to read the potential file:
 - Potential file format 0 (analytic potentials) detected
 - Using 1 PAIR potentials to calculate forces
 - Successfully read 1 potential table(s)
Reading potential file >> morse_230616.pot << ... done
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ...
Reading the config file >> potfit_initial_230616.config << and calculating neighbor lists ... done

Read 6 configurations (6 with forces, 0 with stresses)
with a total of 182 atoms (182 Ni (100.00%)).

Minimal Distances Matrix:
Atom	      Ni	with
Ni	2.276916	

Global energy weight: 100.000000

Starting optimization with 4 parameters.
  k	T        	  m	F          	F_opt
 35	0.338581	 11	9.192046	8.120858
 35	0.338581	 12	8.251943	8.120858
 36	0.287794	  1	8.457826	8.120858
 36	0.287794	  2	8.616504	8.120858
 36	0.287794	  3	9.080065	8.120858
 36	0.287794	  4	8.698771	8.120858
 36	0.287794	  5	8.461363	8.120858
 36	0.287794	  6	8.358209	8.120858
 36	0.287794	  7	8.557755	8.120858
 36	0.287794	  8	9.084800	8.120858
 36	0.287794	  9	8.484503	8.120858
 36	0.287794	 10	8.180179	8.120858
 36	0.287794	 11	8.790421	8.120858
 36	0.287794	 12	8.648241	8.120858
 37	0.244625	  1	8.150378	8.120858
 37	0.244625	  2	8.256940	8.120858
 37	0.244625	  3	8.191958	8.120858
 37	0.244625	  4	8.227461	8.120858
 37	0.244625	  5	8.339759	8.120858
 37	0.244625	  6	9.338117	8.120858
 37	0.244625	  7	8.915080	8.120858
 37	0.244625	  8	8.147474	8.120858
 37	0.244625	  9	8.250954	8.120858
 37	0.244625	 10	8.423875	8.120858
 37	0.244625	 11	8.490165	8.120858
 37	0.244625	 12	8.292413	8.120858
 38	0.207931	  1	8.223685	8.120858
 38	0.207931	  2	8.309192	8.120858
 38	0.207931	  3	8.927429	8.120858
 38	0.207931	  4	8.184844	8.120858
 38	0.207931	  5	8.393067	8.120858
 38	0.207931	  6	8.156658	8.120858
 38	0.207931	  7	8.230033	8.120858
 38	0.207931	  8	8.683153	8.120858
 38	0.207931	  9	8.273817	8.120858
 38	0.207931	 10	8.455724	8.120858
 38	0.207931	 11	8.244814	8.120858
 38	0.207931	 12	8.324799	8.120858
 39	0.176741	  1	8.175462	8.120858
 39	0.176741	  2	8.155162	8.120858
 39	0.176741	  3	8.343072	8.120858
 39	0.176741	  4	8.321766	8.120858
 39	0.176741	  5	8.236997	8.120858
 39	0.176741	  6	8.610812	8.120858
