138 0.520048 2.28035 0.207498 5
139 0.52156 2.28033 0.196163 3
140 0.533776 2.27836 0.433652 16
141 0.502376 2.2855 0.418842 3
142 0.500324 2.28603 0.48324 26
143 0.499711 2.28491 0.53932 1
144 0.501725 2.28651 0.547346 5
145 0.500616 2.28672 0.570691 4
146 0.51992 2.28269 0.433033 2
147 0.527683 2.27944 0.273155 4
148 0.524657 2.28121 0.374266 4
149 0.534673 2.27721 0.436849 9
150 0.527826 2.27787 0.382164 7
151 0.52493 2.2812 0.390027 10
152 0.526742 2.27762 0.476202 5
153 0.53315 2.27713 0.42912 3
154 0.536417 2.27752 0.494277 4
155 0.519579 2.28368 0.755503 5
156 0.522445 2.28039 0.199662 2
157 0.520841 2.27997 0.229534 3
158 0.50939 2.28411 0.290142 6
159 0.507927 2.28472 0.348338 15
160 0.518372 2.28035 0.247849 2
161 0.523535 2.2795 0.234572 2
162 0.526934 2.2786 0.289107 23
163 0.529327 2.27944 0.333737 2
164 0.53441 2.27575 0.683832 17
165 0.540773 2.27602 0.643787 5
166 0.542272 2.27601 0.706828 16
167 0.522888 2.27766 0.703981 3
168 0.50589 2.28284 0.464132 1
169 0.518417 2.28202 0.226697 2
170 0.527675 2.27961 0.283561 7
171 0.526849 2.27834 0.324353 19
172 0.509585 2.28505 0.472138 7
173 0.500783 2.28448 0.526969 1
174 0.501787 2.28539 0.424756 6
175 0.502637 2.28599 0.469855 1
176 0.508809 2.28374 0.263052 1
177 0.503135 2.2843 0.411652 3
178 0.507211 2.28297 0.357293 2
179 0.505811 2.28592 0.53167 4
180 0.510667 2.28514 0.558169 9
181 0.511302 2.28546 0.719437 3
182 0.518407 2.28377 0.676769 2
183 0.519203 2.28232 0.304679 4
184 0.535777 2.27715 0.463715 4
185 0.529422 2.27593 0.89716 67
186 0.531362 2.27648 0.591205 1
187 0.524872 2.27778 0.524811 1
188 0.516764 2.2839 0.580165 6
189 0.504532 2.28632 0.586911 5
190 0.504059 2.28197 0.906474 14
191 0.522141 2.28085 0.213321 7
192 0.529115 2.28009 0.42482 3
193 0.513533 2.28254 0.202041 2
194 0.519303 2.2805 0.207503 29
195 0.51887 2.2791 0.504158 2
196 0.517056 2.28316 0.377541 3
197 0.534078 2.27786 0.41421 3
198 0.529169 2.27821 0.317596 5
199 0.530678 2.27837 0.324799 9
200 0.524384 2.2793 0.243315 1
201 0.525542 2.27937 0.236564 27
202 0.525385 2.28103 0.381519 2
203 0.509001 2.28388 0.268401 2
204 0.513614 2.28379 0.35128 2
205 0.524644 2.28089 0.311969 7
206 0.513247 2.28095 0.381193 4
207 0.514722 2.28363 0.368575 22
208 0.510039 2.28182 0.392791 5
209 0.506183 2.28479 0.340446 3
210 0.49666 2.28698 0.617503 4
211 0.512099 2.28502 0.61715 17
212 0.522702 2.28186 0.402072 6
213 0.533047 2.27686 0.467102 6
214 0.522252 2.28267 0.613549 2
215 0.515151 2.28104 0.2648 8
216 0.503131 2.28323 0.594605 3
217 0.508228 2.28595 0.671762 3
218 0.507088 2.28179 0.643052 10
219 0.505579 2.28237 0.606446 5
220 0.505747 2.28299 0.443468 7
221 0.507493 2.2852 0.425189 8
222 0.507532 2.28515 0.414447 2
223 0.51624 2.28013 0.389856 1
224 0.515814 2.28146 0.199607 4
225 0.514616 2.28194 0.196549 16
226 0.518665 2.27929 0.462119 3
227 0.523581 2.27938 0.245404 7
228 0.508051 2.28496 0.393552 16
229 0.510974 2.28279 0.231473 3
230 0.524955 2.27848 0.348288 6
231 0.527179 2.28011 0.316975 13
232 0.523302 2.27729 0.821769 1
233 0.542332 2.2768 0.784052 1
234 0.537387 2.27494 0.821994 11
235 0.513241 2.27964 0.813702 2
236 0.507877 2.28291 0.331204 2
237 0.506765 2.28343 0.324675 6
238 0.504021 2.28497 0.367392 1
239 0.521648 2.28165 0.295116 2
